SNo.,date,startup,vertical,subvertical,city,investors,round,amount,year,month,investors_clean
1,2020-01-09,Byjus,E-Tech,E-Learning,Bangalore,Tiger Global Management,Private Equity,1700.0,2020,1,Tiger Global
2,2020-01-13,Shuttl,Transport,App Based Shuttle Service,Gurgaon,Susquehanna Growth Equity,Series C,68.411349,2020,1,Susquehanna Growth Equity
3,2020-01-09,Mamaearth,E Commerce,Retailer Of Baby And Toddler Products,Bangalore,Sequoia Capital India,Series B,156.05031,2020,1,Sequoia Capital
4,2020-01-02,Wealthbucket,Finance,Online Investment,New Delhi,Vinod Khatumal,Pre Series A,25.5,2020,1,Vinod Khatumal
5,2020-01-02,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Funding,15.3,2020,1,Sprout Venture Partners
6,2020-01-13,Pando,Logistics,"Open-Market, Freight Management Platform",Chennai,Chiratae Ventures,Series A,76.5,2020,1,Chiratae Ventures
7,2020-01-10,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity,1275.0,2020,1,Ant Financial
8,2019-12-12,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,51.0,2019,12,Sathguru Catalyzer Advisors
9,2019-12-06,Cardekho,E Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,595.0,2019,12,Ping An Global Voyager Fund
10,2019-12-03,Dhruva Space,Aerospace,Satellite Communication,Bangalore,"Mumbai Angels, Ravikanth Reddy",Seed Funding,425.0,2019,12,"Mumbai Angels, Ravikanth Reddy"
11,2019-12-13,Rivigo,Technology,Logistics Services And Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,170.0,2019,12,"Saif Partners, Spring Canter Investment Ltd"
12,2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bangalore,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,102.0,2019,12,"Paytm, NPTK, Sabre Partners, Neoplux"
13,2019-12-16,Licious,E Commerce,Online Meat And Seafood Ordering Startup,Bangalore,Vertex Growth Fund,Series E,255.0,2019,12,Vertex Growth Fund
14,2019-12-16,Incred,Finance,Non-Banking Financial Company,Mumbai,Undisclosed Investors,Debt Funding,50.15,2019,12,Undisclosed Investors
15,2019-12-14,Trell,Video,Experience Discovery Platform,Bangalore,Ruizheng Investment,Seed Funding,17.0,2019,12,Ruizheng Investment
16,2019-12-11,Rein Games,Gaming,Real Money Based Gaming Startup,Noida,Manipal Education and Medical Group (MEMG),Seed Funding,425.0,2019,12,"Manipal Education, Medical Group"
17,2019-12-20,Lenskart,E Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,1963.5,2019,12,Softbank
18,2019-11-13,Freshworks,Software,Business And Customer Engagement Tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,1275.0,2019,11,"Sequoia, Capitalg, Accel"
19,2019-11-14,Misters,Health and wellness,Men'S Health And Wellness Brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,4.131,2019,11,"Sauce.Vc, Rainforest Ventures"
20,2019-11-13,Sunstone Eduversity Pvt Ltd,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed Funding,12.75,2019,11,"Prime Venture Partners, Letsventure, Ps1 Venture, Globallogic Co-Founder Rajul Garg"
21,2019-11-17,Burger Singh,Food and Beverages,Indian Burger Brand,Gurgaon,RB Investments,Venture,0.0,2019,11,Rb Investments
22,2019-11-18,Healthians,Healthcare,Healthcare Services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,102.0,2019,11,"Dg Daiwa Ventures, Dg Incubation"
23,2019-11-15,Ninjacart,B2B Marketing,Agritech,Bangalore,Trifecta Capital Advisors,Debt Funding,221.0,2019,11,Trifecta Capital Advisors
24,2019-11-20,Aye Finance,Finance,Financial Services To Msmes,Gurgaon,FinTech,Debt Funding,147.9957525,2019,11,Fintech
25,2019-11-12,Supergaming,Video Games,Social Gaming Platform,Pune,Dream Incubator,Seed Funding,11.05,2019,11,Dream Incubator
26,2019-11-20,Clumio,SaaS,Recovery Software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,1147.5,2019,11,"Altimeter Capital, Sutter Hill Ventures"
27,2019-11-11,Ebikego,Last Mile Transportation,Electric Bike Rental,Amritsar,Startup Buddy,Seed Funding,2.55,2019,11,Startup Buddy
28,2019-11-19,Digital Mall Asia,E Commerce,Virtual E-Commerce Platform,New Delhi,Amour Infrastructure,Seed Funding,1870.0,2019,11,Amour Infrastructure
29,2019-11-18,Medikabazaar,Healthcare,B2B Platform For Medical Supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,134.3,2019,11,"Ackermans, Van Haaren, Healthquad, Rebright Partners, Toppan Printing"
30,2019-11-15,Vogo,Last Mile Transportation,Scooter Sharing App,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,2405.5,2019,11,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital"
31,2019-11-19,Furtados School Of Music,Education,Music Education,Tulangan,IAN Fund and DSG Consumer Partners,Unknown,1700.0,2019,11,"Ian Fund, Dsg Consumer Partners"
32,2019-11-25,Paytm,Finance,Mobile Wallet,Noida,Vijay Shekhar Sharma,Seed Funding,8500.0,2019,11,Vijay Shekhar Sharma
33,2019-10-04,Dunzo,Customer Service,Delivery Service,Bangalore,Lightbox,Series D,382.5,2019,10,Lightbox
34,2019-10-02,Udaan,B2B,Business Development,Bangalore,"Altimeter Capital, DST Global",Series D,4972.5,2019,10,"Altimeter Capital, Dst Global"
35,2019-10-21,The Man Company,Consumer Goods,Beauty And Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,0.0,2019,10,Ayushmann Khurana
